Código,Descripción,Descripción 2
CLC,CLAVOS COLADOS PARA CLAVADORA," "
CLD,COLGADOR PARA TUBO EMT CON,TORNILLO DE AJUSTE
CLE,CINTA LED BAJA INTENCIDAD,<500LM/M
CLF,COLGADOR PARA STRUT," "
CLG,CLAVO CON GANCHO PARA CABLE," "
CLH,COLGADOR PARA TUBO TIPO CLEVIS," "
CLI,COLGADOR PARA TUBO REDONDO," "
CLJ,CALIBRADOR DE HOJA O LAMINA," "
CLK,CINTA LED DE ALTA INTENSIDAD,>=500LM/M
CLL,COLLARIN PARA TUBO," "
CLM,MANGUERA LED," "
CLN,CLAVADORA PNEUMATICA," "
CLO,CLORO LIQUIDO PARA LIMPIEZA," "
CLP,CLORO EN PASTILLAS," "
CLR,CLAVO PARA RIEL (RIELERO)," "
CLS,CLAVOS PARA ACABADO DE MADERA,SIN CABEZA
CLT,CEPILLO PARA LIMPIEZA TUBERIAS," Y ACCESORIOS DE COBRE"
CLX,COLGADOR PARA ROPA," "
CLZ,CINTA LED SMART," "
CMA,CINTA MASKING O CINTA PARA,ENMASCARAR
CMB,COMBOS EXCLUSIVOS DE DEMACO," "
CML,"CORTADORA MANUAL CERAMICA,","LOZA, AZULEJOS Y PORCELANATO"
CMM,CAMILLA PARA MECANICOS," "
CMP,CINTA METALICA PERFORADA," "
CMS,CAMISETA DE ALGODON," "
CNA,CANDADO PLANO," "
CNB,CANDADO TIPO BARRIL," "
CNC,CANDADO ANTI CIZALLA," "
CND,CANDADO CON COMBINACION," "
CNE,CANDADO ELECTRONICO O SMART," "
CNF,CANDADO PARA DISCO DE FRENO DE,MOTOS O BICICLETAS
CNG,CONECTOR AB PARA BARRA TIERRA," "
CNH,CONECTOR DESDE CAJA EMT A,CABLE
CNI,CONECTOR DESCENTRADO DESDE,EMT A CAJA
CNJ,CONECTOR DESDE EMT A CAJA," "
CNK,CONECTOR DESDE IMC A CAJA," "
CNL,CONECTOR DESDE MANGUERA,SELLADA A CAJA
CNM,CONECTOR DESCENTRADO DESDE,CAJA A CAJA
CNP,CONO DE SEGURIDAD," "
CNT,CONTRATUERCA PARA AJUSTAR,DISCO DE ESMERILADORA
CNV,CONECTOR ADAPTADOR DESDE CAJA,A FUNDA SELLADA ELECTRICA
CNW,CONECTOR ADAPTADOR DESDE CAJA," A MANGUERA BX"
CNX,CONECTOR PVC ELECTRICO," "
CNY,CONECTOR METALICO ELECTRICO,EMT
CNZ,CONECTOR O ADAPTADOR PARA,CONDUCTOS IMC
COA,COMPRESOR DE AIRE DE TANQUE," "
COB,COMPRESOR DE AIRE PANCAKE," "
COC,COMPRESOR DE AIRE PARA CARRO," "
COD,COMPRESOR O INFLADOR DE AIRE,PARA COLCHONES O LLANTAS
COE,COMPROBADOR DE CORRIENTE," "
COF,COMPRESOR DE AMORTIGUADORES," "
COG,CORTADOR PARA GALLETAS Y,REPOSTERIA
COH,COMPRESOR DE AIRE INALAMBRICO," "
COI,CORTADOR DE PIZZA Y MASAS," "
COL,COLADOR O SERNIDERA," "
COM,COMBO O MAZO," "
COP,COMPRESOR DE AIRE PARA PINTAR," "
COQ,CORTADOR PARA QUESO," "
COR,CORTATUBO," "
COT,CORTA VARILLAS INALAMBRICO," "
COV,CORTA VIDRIOS," "
COZ,CORTADOR DE CERAMICA O AZULEJO,MANUAL
CPA,COLGADOR TIPO PERA PARA TUBO," "
CPB,CUBIERTA O TAPA TRASERA PARA,BOMBA DE AGUA
CPC,CAPACITOR O CONDENSADOR PARA,MOTORES ELECTRICOS
CPD,CARRETE NYLON PARA DESBROZADOR," "
CPE,CERRADURA PARA PUERTA,ENRROLLABLE O LANFORD
CPF,CASCADA DE AGUA PARA FUENTES Y,PISCINA
CPG,CINTA DE MALLA DE FIBRA DE,VIDRIO PARA GYPSUM
CPH,CHALECO PARA HERRAMIENTAS," "
CPI,CAJA PARA INTERPERIE PARA,SOBREPONER
CPP,CANASTAS PARA PANEL RANURADO," "
CPR,CLAVO PARA METAL TIPO PARAGUA," "
CPS,CUCHARON PARA SERVIR ALIMENTOS," "
CPT,CUMBRERO PARA TECHO," "
CPU,CAPUCHON," "
CPV,CERRADURA PARA VITRINA CON,PUERTA CORREDIZA
CPZ,CINTURON PARA HERRAMIENTAS," "
CQA,CANAL RECTANGULAR PARA,AGUAS LLUVIAS
CQB,CANAL REDONDO PARA,AGUAS LLUVIAS
CRA,CARRETA COCHE DE MANO VERTICAL," "
CRB,CUBRETECLA PARA ACABADOS,ELECTRICOS ARMABLES
CRC,CERRADURA PARA PUERTA,CORREDIZA
CRD,CUCHILLA DE REPUESTO PARA,DESBROZADORA
CRE,CREMALLERA PARA MOTOR ELECTRIC," "
CRI,CONTROL REMOTO INFRAROJO," "
CRL,CARRETILLA DE BALDE," "
CRM,CAMILLA RODANTE PARA TALLER,MECANICO
CRN,CORNIZA O MOLDURA DECORATIVA," "
CRR,CERRADURA TIPO CERROJO," "
CRV,CURVA U DE COBRE PARA PRESION," "
CSA,CAMARA DE SEGURIDAD ANALOGA," "
CSC,CONECTOR SELLADO CURVO A CAJA," "
CSL,CERRADURA DE SOBREPONER,ELECTRICA
CSO,CERRADURA DE SOBREPONER O DE,ENGRAMPE
CSS,CAMARA DE SEGURIDAD SMART," "
CSV,CHALECOS SALVAVIDAS," "
CTA,CONTRATUERCA RH," "
CTB,CONTACTOR O RELE TERMICO," "
CTE,CANALETA ELECTRICA," "
CTG,CORTADOR DE TIRAS PARA GYPSUM," "
CTM,CINTA DE TINTA MATRICIAL O,TERMOTRASNFERIBLE
CTP,CAUTIN O SOLDADOR TIPO PISTOLA," "
