Código,Descripción,Descripción 2
TKE,TUERCA CUADRADA," "
TKH,TUERCA HEXAGONAL," "
TKM,TUERCA MORDAZA PARA COLGADOR,DE TUBOS
TLA,TRACKLIGHT O LAMPARA PARA RIEL,O TRACK DE ILUMINACION
TLB,RIEL O TRACK ELECTRICO PARA,ILUMINACION
TLC,UNION PARA RIEL O TRACK DE,ILUMINACION
TLD,CONECTOR PARA FUENTE DE TRACK,O RIEL DE ALUMINIO
TLS,TINA PARA BANO," "
TMA,"TERMINAL PARA CABLE TIPO O, U,",PIN
TMC,TERMINAL DE COMPRESION," "
TMH,BLOQUE DE TERMINALES TIPO H/U," "
TML,TERMINAL TALON ELECTRICO," "
TMO,TECHO METALICO CON ONDAS," "
TMP,TEMPORIZADOR DIGITAL O TIMMER,INTERRUPTOR DE TIEMPO
TMR,TERMINAL PARA TIERRA ELECTRICA," "
TMT,TECHO METALICO TIPO TEJA," "
TNA,TORNILLO AUTOPERFORANTE O,PUNTA BROCA
TNB,TORNILLO PARA CAPUCHON," "
TNC,TORNILLO PARA MADERA," "
TND,TENEDOR," "
TNE,TORNILLO TRIPA DE PATO," "
TNF,TORNILLO U PARA CANAL DE,MONTAJE
TNG,TORNILLO DE EXPANSION," "
TNS,TORNILLO ESTUFA," "
TNU,TORNILLO U," "
TOA,TOALLERO," "
TOH,TORNILLO DE BANCO DE HORQUILLA,O MORDAZA PARA TUBO
TOM,TOMATODO O TERMO," "
TOP,TOPOMETRO," "
TOQ,TORQUIMETRO," "
TOR,TORNILLO DE BANCO FIJO," "
TOS,TORNILLO DE BANCO MOVIL," "
TPA,MANGUERA O TUBO FLEXIBLE PARA,PRESION DE PE
TPB,CAÑERIA O TUBO FLEXIBLE PARA,PRESION DE COBRE
TPC,TAPA CANTOS DE MADERA," "
TPD,TAPA PARA CAJETIN ELECTRICO," "
TPE,TAPA PARA CANAL DE AGUA LLUVIA," "
TPF,MANGUERA CON AISLAMIENTO,TERMICO PARA REFRIGERACION
TPG,TORNILLO PARA GYPSUM O DRYWALL," "
TPH,TECHO PLASTICO TIPO TEJA," "
TPI,TAPA PARA TANQUE DE INODORO," "
TPM,TEMPORIZADOR O TIMMER PARA,MANGUERA DE JARDIN
TPP,TOPE PARA PARQUEADEROS," "
TPR,TRIPODE PARA ROSCADORA DE TUBO," "
TPT,TAPA PARA CONDULETA ELECTRICA," "
TQA,TANQUE TIPO BOTELLA CON TAPA," "
TQB,TANQUE APILABLE O TIPO VASO,CON TAPA
TQC,TANQUE CILINDRICO O CHANCHITO,CON TAPA
TQD,TANQUE RECTANGULAR CON TAPA," "
TQE,TANQUE TIPO CISTERNA," "
TQP,TANQUE HIDRONEUMATICO PARA,PRESION SIN MEMBRANA
TQQ,TANQUE HIDRONEUMATICO PARA,PRESION (MEMBRANA O DIAFRAGMA)
TRA,INVERSOR DE CORRIENTE PARA,CARRO
TRC,TUERCA PARA AJUSTAR DISCO DE,ESMERILADORA
TRF,TRIANGULO REFLECTIVO," "
TRI,TALADRO DE ROTACION INALAMBRIC," "
TRJ,TRAJE DE BIOSEGURIDAD O,PROTECCION
TRP,TRAPO LIMPION FRANELA O PAÑO," "
TSA,TEE POLIPROPILENO PRESION," "
TSB,TEE PEAD PRESION ACOPLE RAPIDO," "
TSC,TEE PVC PRESION," "
TSD,TEE PVC DESAGUE," "
TSE,TEE RANURADA," "
TSF,TEE POLIETILENO FLEX," "
TSG,TEE AI/AG PRESION," "
TSH,TEE PARA CANALETA ELECTRICA," "
TSI,TEE EMT ELECTRICO," "
TSJ,TEE PVC ELECTRICO," "
TSK,TEE ACERO INOX/HIERRO GALV/,BRONCE/HIERRO NE PARA PRESION
TSL,TEE DE COBRE," "
TSM,TOMACORRIENTE ENCHUFE SMART," "
TSN,TEE IMC ELECTRICA CON,INSPECCION
TSO,TEE O UNION EN T PARA BANDEJA,ELECTRICA
TSP,TEE TERMOFUSION PRESION," "
TSR,TEE PEBD RIEGO MOVIL," "
TST,TABIQUE SEPARADOR O DIVIDER,PARA CANALETA
TT1,TOMA TELEFONICO DE 1 SERVICIO," "
TT2,TOMA TELEFONICO DE 2 SERVICIOS," "
TT3,TOMA TELEFONICO DE 3 SERVICIOS," "
TUA,TUBO PARA AGUA FRIA A PRESION,DE PVC ESPIGA CAMPANA
TUB,TUBO PARA DESAGUE VENTILACION,DE PVC ESPIGA CAMPANA
TUC,TUBO O PERFIL ESTRUCTURAL,CUADRADO HIERRO NEGRO
TUD,TUBO PARA AGUA FRIA Y CALIENTE,A PRESION DE PP ROSCABLE
TUE,TUBO ELECTRICO PLASTICO O PVC,CONDUIT O ELECTRICO
TUF,TUBO FLUORESCENTE," "
TUG,TUBO ELECTRICO METALICO EMT," "
TUH,TUBO O PERFIL ESTRUCTURAL,REDONDO HIERRO NEGRO
TUI,TUBO O PERFIL ESTRUCTURAL,RECTANGULAR GALVANIZADO
TUJ,TUBO O PERFIL ESTRUCTURAL,CUADRADO GALVANIZADO
TUK,TUBO O PERFIL ESTRUCTURAL,REDONDO GALVANIZADO
TUL,TUBO LED," "
TUM,TUBO REDONDO DE ACERO,INOXIDABLE
TUN,TUBO ELECTRICO CORRUGADO DE,PVC
TUO,TUBO RECTANGULAR DE ACERO,INOXIDABLE
TUP,TUBO CUADRADO DE ACERO,INOXIDABLE
TUQ,TUBO PARA AGUA FRIA Y CALIENTE,A PRESION DE COBRE
TUR,TUBO O PERFIL ESTRUCTURAL,RECTANGULAR HIERRO NEGRO
TUS,TUBO REDONDO DE ACERO NEGRO,SIN COSTURA PARA INCENDIOS
TUT,TUBO REDONDO DE ACERO NEGRO,CON COSTURA PARA INCENDIOS
TUU,TUBO ELECTRICO METALICO CON,ROSCA IMC/RMC
TUV,TUBO PARA AGUA FRIA A PRESION,DE PVC UNION ELASTOMERICA (UZ)
TUW,TUBO PARA AGUA FRIA Y CALIENTE,A PRESION DE PP TERMOFUSION
TUX,TUBO PARA ALCANTARILLADO O,DESAGUE CORRUGADO DE PVC
TUY,TUBO GALVANIZADO PARA," AGUA Y VAPOR"
TUZ,TUBO PARA AGUA FRIA DE PVC,RIEGO MOVIL O CONEXION RAPIDA
TVA,TELEVISOR LCD SMART HD," "
TVB,TELEVISOR LCD SMART 4K," "
TX1,TOMACORRIENTE 1 SERVICIO PATA,"GALLINA EMPOTRABLE NEMA 7,10"
TX2,TOMACORRIENTE 1 SERVICIO PATA,"GALLINA EMPOTRABLE NEMA 7,10"
TX3,TOMACORRIENTE 1 SERVICIO PATA,"GALLINA EMPOTRABLE NEMA 7,10"
TXK,TAPA FLEXIBLE PARA CANALETA,ELECTRICA
TYA,TOPE DE ENGRAMPE PARA PUERTA,DE MUEBLE O GABINETE
TYB,TOPE MAGNETICO PARA PUERTA,DE MUEBLE O GABINETE
TYF,TOPE FIJO PARA PUERTAS," "
TZA,TAZA," "
UAL,UNION PVC ALCANTARILLADO PARA,TUBERIA CORRUGADA
UEA,UNION ELECTRICA EMT," "
UEB,UNION REDUCTORA ELECTRICA IMC/,RMC
UEC,UNION PARA CANALETA ELECTRICA," "
UED,UNION ELECTRICA BX A FLEX," "
UEE,CONECTOR BX A CAJA," "
UEF,UNION ELECTRICA DESDE EMT A,MANGUERA FLEXIBLE
UEG,UNION ELECTRICA BX A BX," "
UEH,UNION DE REPARACION O DRESSER,Y GIBAULT
UEI,UNION ELECTRICA CON INSPECCION," "
UER,UNION ELECTRICA IMC/RMC," "
ULM,CONECTOR ROSCABLE ACOPLE RAPID,PARA LLAVE DE JARDIN (CLICK)
UMM,UNION PARA REPARACION DE,MANGUERAS
UNA,UNION POLIPROPILENO PRESION," "
UNB,UNION PVC PRESION," "
UNC,UNION PVC DESAGUE," "
UND,UNION PEAD ACOPLE RAPIDO," "
UNE,UNION FLEX," "
UNF,UNION PARA CANAL DE AGUA,LLUVIA
UNG,UNION DE COBRE PARA PRESION," "
UNH,UNION EMBUDO CANAL BAJANTE,PARA AGUA LLUVIA
UNR,UNION ACOPLE RAPIDO MACHO," "
UNT,UNION TERMOFUSION PRESION," "
UPM,UNION O ACOPLE RAPIDO HEMBRA,A MANGUERA DE JARDIN (CLICK)
UPN,VIGAS U TIPO UPN," "
UPS,UPS," "
URH,UNION RANURADA O TIPO RANURA,METALICA
URM,PUNTA O UNION PARA RIEGO MOVIL," "
UTP,CABLE PARA DATOS UTP," "
VAC,VARILLA LISA CUADRADA," "
VAI,VALVULA DE ADMISION PARA,INODORO
VAL,VARILLA LISA CILINDRICA," "
VAP,VIBROAPISONADOR A GASOLINA," "
VAR,VARILLA CORRUGADA CILINDRICA," "
VAS,VARILLA ROSCADA," "
VBA,VIDEO BALUM," "
VDC,VIBRADOR DE CONCRETO ELECTRICO,O INALAMBRICO
VDF,VARIADOR DE FRECUENCIA PARA,MOTOR
VDP,VALVULA DE PULSO," "
VED,VENTILADOR PORTATIL CON DUCTO," "
VEI,VENTILADOR INALAMBRICO," "
VEL,VENTILADOR DE TECHO CON LUZ," "
VEP,VENTILADOR DE PEDESTAL," "
VET,VENTILADOR DE TECHO," "
VGA,VIGA ELECTROSOLDADA DE VARILLA,CORRUGADA PREFABRICADA
VLA,VALVULA DE ALIVIO," "
VLB,VALVULA DE GLOBO," "
VLC,VALVULA DE COMPUERTA," "
VLD,VALVULA DE CORTE INVIOLABLE," "
VLE,VALVULA ESFERICA O DE ESFERA O,DE BOLA
VLF,VALVULA DE BOYA O FLOTADOR," "
VLG,VALVULA TOMA DE INCORPORACION," "
VLI,LLAVE O VALVULA DE ACERA O,TOMA DE INCORPORACION
VLK,VALVULA CINETICA," "
VLN,VALVULA DE PIE O CHEQUE,CANASTILLA
VLR,VALVULA O CHEQUE DE RETENCION,PARA PRESION
VLT,VALVULA O CHEQUE ANTIRETORNO,PARA DESAGUE
VLX,VALVULA DE PRUEBA CON VISOR Y,DRENAJE
VLY,"VALVULA O CHEQUE ""Y"" O FILTRO"," "
VLZ,VALVULA REDUCTORA O REGULADORA,DE PRESION
VMA,VALVULA MARIPOSA," "
VOL,VOLANTE O GALLETA PARA VALVULA," "
VPB,VENTURY PARA BOMBA DE AGUA DE,SUPERFICIE
VPI,"VALVULA DE PASO INTELIGENTE,",ELECTRO O SMART
VPL,"VASTAGO, CARTUCHO, BARON, O",MACHO PARA LLAVE O GRIFERIA
VPM,VENTOSA PARA CARGA DE PLANCHAS," "
VPS,VIDEO PORTERO INTERCOMUNICADOR,SMART
VRA,VALVULA DE COMPUERTA RANURADA," "
VRB,VALVULA DE COMPUERTA ANGULAR," "
VRE,RISER PARA SISTEMA CONTRA,INCENDIOS
VRG,VALVULA REGULADORA DE GAS PARA,TANQUE DE GLP
VSA,VALVULA SIAMESA DE PARED," "
VSB,VALVULA SIAMESA ANGULAR," "
VSC,VALVULA SIAMESA CON VALVULA," "
VSD,VALVULA SOLENOIDE," "
VVF,VARILLA DE REPUESTO VALVULA,FLOTADOR
VVT,VALVULA VENTOSA O CINETICA," "
XTA,EXTINTOR DE AGUA," "
XTB,EXTINTOR DE POLVO," "
XTC,EXTINTOR DE ESPUMA," "
XTD,EXTINTOR DE CO2," "
XTE,EXTINTOR DE QUIMICO HUMEDO," "
YAG,AGUA EMBOTELLADA,BEBIDAS
YAL,YEE PVC PARA ALCANTARILLADO O,TUBERIA DE ALCANTARILLADO
YAN,ATUN ENLATADO,ENLATADOS
YAV,BEBIDA DE AVENA,REFRIGERADOS
YCC,CHICHARRON,SNACK
YCF,BEBIDA DE CAFE CAFE,REFRIGERADOS
YCH,CHIFLES EMPACADOS,SNACK
YCK,CAKE EMPACADO,SNACK
YCL,COLA O REFRESCO CON GAS,BEBIDAS
YCN,CANGUIL EMPACADO,SNACK
YCO,CHOCOLATES,SNACK
YCR,CEREAL,SNACK
YED,BEBIDA ENERGIZANTE,BEBIDAS
YGE,GELATINA,REFRIGERADOS
YGL,GALLETAS SIN RELLENO,SNACK
YGR,GALLETAS CON RELLENO,SNACK
YHI,BEBIDA HIDRATANTE,BEBIDAS
YJG,JUGO DE FRUTAS,BEBIDAS
YLE,LECHE SABORIZADA,REFRIGERADOS
YMF,MUFFIN EMPACADO,SNACK
YMN,MANJAR,REFRIGERADOS
YMX,YOGURT CON CEREAL,REFRIGERADOS
YPA,PAPAS FRITAS EMPACADAS,SNACK
YQC,QUESO CREMA,REFRIGERADOS
YRO,ROSQUITAS DE HARINA O TRIGO,SNACK
YTH,BEBIDA DE TE,REFRIGERADOS
YTM,TORTILLA DE MAIZ EMPACADA,SNACK
YXA,YEE PVC DESAGUE," "
YXB,YEE POLIPROPILENO PRESION," "
YXC,YEE PVC PRESION," "
YXD,YEE PVC DESAGUE," "
YYG,YOGURT,REFRIGERADOS
ZAP,ZAPAPICO," "
